letter,frequency,percent
С,1493094,8.6482
А,1451506,8.4073
Ӧ,1325676,7.6785
Н,1184984,6.8636
Ы,1099069,6.3660
Т,831090,4.8138
Д,826305,4.7861
О,796259,4.6120
Л,741676,4.2959
М,720479,4.1731
И,718619,4.1623
К,712052,4.1243
Р,680605,3.9422
В,657578,3.8088
Е,523837,3.0341
Ь,510754,2.9584
У,399420,2.3135
Я,326509,1.8912
Й,290113,1.6804
П,282901,1.6386
З,269078,1.5585
Ч,213213,1.2350
Б,196395,1.1375
Г,184616,1.0693
І,163005,0.9441
Ш,155637,0.9015
Ж,155259,0.8993
Ъ,93841,0.5435
Э,82103,0.4756
Ю,54225,0.3141
Ё,40547,0.2349
Ц,30229,0.1751
Ф,29314,0.1698
Х,19851,0.1150
Щ,4955,0.0287
