unit,frequency,percent
а,5266,16.6303
и,4256,13.4407
л,2862,9.0384
р,2235,7.0583
у,1973,6.2309
н,1332,4.2065
б,1228,3.8781
е,1157,3.6539
ц,1150,3.6318
в,1106,3.4928
ь,942,2.9749
д,755,2.3843
я,658,2.0780
к,461,1.4559
с,425,1.3422
ж,400,1.2632
ш,393,1.2411
м,385,1.2159
тт,374,1.1811
т,350,1.1053
ч,341,1.0769
кь,314,0.9916
й,295,0.9316
о,285,0.9000
х,285,0.9000
г,268,0.8464
цц,260,0.8211
ҡ,232,0.7327
ғ,215,0.6790
кк,201,0.6348
ҡь,187,0.5906
ҳ,166,0.5242
ць,155,0.4895
з,147,0.4642
чь,137,0.4327
ҡҡ,128,0.4042
ть,97,0.3063
п,96,0.3032
чч,86,0.2716
ъ,51,0.1611
пп,10,0.0316
пь,1,0.0032
